device,status,shot_id,mode,R_m,a_m,Bt_T,Ip_MA,ne_19,Te_keV,tauE_s,Pheat_MW,Pfus_MW,Q,aspect_ratio,volume_m3
MAST-U,运行,MAST-U_mid,mid,0.85,0.65,0.92,2.0,4.0,2.5,0.15,5.0,0.0,0.0,1.3076923076923077,7.088843361082431
MAST-U,运行,MAST-U_high,high,0.85,0.65,0.92,2.4550229885420856,5.464655291091591,3.3541611938714624,0.18717565475629808,7.069867180834493,0.0,0.0,1.3076923076923077,7.088843361082431
HL-2M,运行,HL-2M_low,low,1.78,0.65,2.5,1.6303925243084485,3.0612771975694963,1.9396770259681926,0.11962773578186345,6.0545587905167855,0.0,0.0,2.7384615384615385,14.844871979678505
HL-2M,运行,HL-2M_mid,mid,1.78,0.65,2.5,2.5,5.0,3.5,0.3,12.0,0.0,0.0,2.7384615384615385,14.844871979678505
HL-2M,运行,HL-2M_high,high,1.78,0.65,2.5,2.963770509179275,5.538128690116143,4.31328599834297,0.3637715022824081,16.69107748054961,0.0,0.0,2.7384615384615385,14.844871979678505
TCV,运行,TCV_low,low,0.88,0.25,1.54,0.5628711962152653,2.406856552931762,1.1630265895704373,0.0349858445829775,2.1693446307320667,0.0,0.0,3.52,1.0856564841198293
TCV,运行,TCV_mid,mid,0.88,0.25,1.54,1.0,4.0,2.0,0.1,4.5,0.0,0.0,3.52,1.0856564841198293
TCV,运行,TCV_high,high,0.88,0.25,1.54,1.25111022770861,4.674557798589947,2.4461879458972757,0.13159005811655072,5.617648737792906,0.0,0.0,3.52,1.0856564841198293
NSTX-U,运行,NSTX-U_low,low,0.93,0.68,1.0,1.371879060937029,3.9697444554773,1.0533615026041694,0.04742921180375436,5.607344153798229,0.0,0.0,1.3676470588235294,8.48849143961852
NSTX-U,运行,NSTX-U_mid,mid,0.93,0.68,1.0,2.0,6.0,2.0,0.1,10.0,0.0,0.0,1.3676470588235294,8.48849143961852
NSTX-U,运行,NSTX-U_high,high,0.93,0.68,1.0,2.2746280235544143,8.20660619728196,2.7236053451493905,0.15229760620656252,14.688273899770481,0.0,0.0,1.3676470588235294,8.48849143961852
LHD,运行,LHD_low,low,3.7,0.6,3.0,0.0,1.0440207698110706,0.8911740650167767,0.11562646731757538,8.45404429776748,0.0,0.0,6.166666666666667,26.29262612450205
LHD,运行,LHD_mid,mid,3.7,0.6,3.0,0.0,2.0,2.0,0.3,15.0,0.0,0.0,6.166666666666667,26.29262612450205
LHD,运行,LHD_high,high,3.7,0.6,3.0,0.0,2.2041712783187144,2.706448381546539,0.4100893203778535,18.999485147118286,0.0,0.0,6.166666666666667,26.29262612450205
W7-X,运行,W7-X_low,low,5.5,0.5,3.0,0.0,1.7025691028421768,1.7657458223475113,0.14585623456166041,7.556371865230098,0.0,0.0,11.0,27.141412102995734
W7-X,运行,W7-X_mid,mid,5.5,0.5,3.0,0.0,3.0,3.0,0.4,15.0,0.0,0.0,11.0,27.141412102995734
W7-X,运行,W7-X_high,high,5.5,0.5,3.0,0.0,3.6272666421413646,4.4746038744488645,0.6339915671907379,19.133020331214137,0.0,0.0,11.0,27.141412102995734
SST-1,运行,SST-1_low,low,1.1,0.2,3.0,0.13187893425926495,1.6805269858900616,0.45696809887549356,0.015368869473545328,0.782869300193969,0.0,0.0,5.5,0.8685251872958637
SST-1,运行,SST-1_mid,mid,1.1,0.2,3.0,0.22,3.0,1.0,0.05,1.5,0.0,0.0,5.5,0.8685251872958637
SST-1,运行,SST-1_high,high,1.1,0.2,3.0,0.2641178770220699,3.3463308761249904,1.2835939392709834,0.07816531771933309,1.9078028508001377,0.0,0.0,5.5,0.8685251872958637
EAST_new,运行,EAST_new_low,low,1.9,0.48,3.6,0.6347747693018935,3.288398036305319,2.08995531787742,0.12194386900580502,8.55083375169881,0.0,0.0,3.9583333333333335,8.641036045241753
EAST_new,运行,EAST_new_mid,mid,1.9,0.48,3.6,1.2,5.5,3.5,0.35,16.0,0.0,0.0,3.9583333333333335,8.641036045241753
EAST_new,运行,EAST_new_high,high,1.9,0.48,3.6,1.5027887076788922,6.442101947587459,4.964627166042452,0.4714896385806954,22.23506798684918,0.0,0.0,3.9583333333333335,8.641036045241753
KSTAR_2024,运行,KSTAR_2024_low,low,1.8,0.5,3.6,1.3787530727347936,3.64292962088971,1.8812607930489675,0.2568832745148162,6.962340194915208,0.0,0.0,3.6,8.882643960980422
KSTAR_2024,运行,KSTAR_2024_mid,mid,1.8,0.5,3.6,2.2,6.0,4.5,0.55,15.0,0.0,0.0,3.6,8.882643960980422
KSTAR_2024,运行,KSTAR_2024_high,high,1.8,0.5,3.6,2.5020681445759365,6.673395254798575,6.197705473304127,0.8090641596053022,18.074645230175353,0.0,0.0,3.6,8.882643960980422
SPARC,在建,SPARC_low,low,1.85,0.57,12.2,5.241041921440749,8.179487325593813,7.935518371228349,0.3348732858009983,26.909377381024658,0.0,0.0,3.2456140350877196,11.864547538681549
SPARC,在建,SPARC_mid,mid,1.85,0.57,12.2,8.7,15.0,15.0,1.0,50.0,140.0,2.0,3.2456140350877196,11.864547538681549
SPARC,在建,SPARC_high,high,1.85,0.57,12.2,10.242919502562936,20.715284949315304,18.61884424865697,1.3364265404201034,61.702102818608836,192.8371319676996,3.1252927073587764,3.2456140350877196,11.864547538681549
ARC,设计,ARC_low,low,3.3,1.14,9.25,9.456550189466746,6.619059906516374,10.639936184136715,0.9268888800804863,25.552008115994624,0.0,0.0,2.8947368421052633,84.6551500057278
ARC,设计,ARC_mid,mid,3.3,1.14,9.25,14.0,12.0,20.0,2.0,50.0,525.0,13.0,2.8947368421052633,84.6551500057278
ARC,设计,ARC_high,high,3.3,1.14,9.25,16.88302161939682,14.070668247241626,24.558616606835393,3.1177726063626614,73.50627085744996,677.2134795205397,9.213002803990065,2.8947368421052633,84.6551500057278
CFETR,设计,CFETR_low,low,7.2,2.2,6.5,10.788313205985062,6.838102979070387,11.994204987029054,1.9176882079620616,40.41920993971164,0.0,0.0,3.2727272727272725,687.871948338324
CFETR,设计,CFETR_mid,mid,7.2,2.2,6.5,19.0,12.0,22.0,4.0,70.0,1000.0,15.0,3.2727272727272725,687.871948338324
CFETR,设计,CFETR_high,high,7.2,2.2,6.5,23.863527074258972,15.511313926155434,26.955323768967325,5.058605942551382,102.86963795906867,1281.9287178978768,12.461682021355514,3.2727272727272725,687.871948338324
STEP,设计,STEP_low,low,3.6,1.2,5.5,6.022072923879911,5.202943085732064,9.588606368789002,0.7525307919231093,19.44727246275749,0.0,0.0,3.0,102.32805843049447
STEP,设计,STEP_mid,mid,3.6,1.2,5.5,12.0,10.0,18.0,2.5,45.0,300.0,5.0,3.0,102.32805843049447
STEP,设计,STEP_high,high,3.6,1.2,5.5,14.516961094479807,13.075685593078079,25.12059080131404,3.2242693094605595,63.614419488191736,351.35241787471205,5.523156867601864,3.0,102.32805843049447
DEMO,设计,DEMO_low,low,9.0,2.9,6.8,11.301598792637071,8.440877653306861,13.248164495236074,2.3492234104941776,42.52180627680549,0.0,0.0,3.103448275862069,1494.0607142369072
DEMO,设计,DEMO_mid,mid,9.0,2.9,6.8,20.0,13.0,25.0,5.0,80.0,2000.0,25.0,3.103448275862069,1494.0607142369072
DEMO,设计,DEMO_high,high,9.0,2.9,6.8,24.273234413341886,14.66533159452956,32.75786852294575,6.530404735363451,101.855751441098,2783.8063328514672,27.33087030889277,3.103448275862069,1494.0607142369072
IGNITOR,设计,IGNITOR_low,low,1.32,0.47,13.0,6.364814994266873,13.568186220708451,7.893415877991789,0.22948113035416484,20.021096744841536,0.0,0.0,2.808510638297873,5.755716416209688
IGNITOR,设计,IGNITOR_mid,mid,1.32,0.47,13.0,11.0,20.0,15.0,0.5,40.0,100.0,4.0,2.808510638297873,5.755716416209688
IGNITOR,设计,IGNITOR_high,high,1.32,0.47,13.0,13.36918854617799,24.955106162913182,18.8785934450912,0.7444904230523011,51.36926834929027,110.72947899294363,2.155558810766544,2.808510638297873,5.755716416209688
SST-2,设计,SST-2_low,low,3.5,1.0,6.0,6.290944591814336,5.354221358814097,8.821375753058742,0.9815714308010349,23.318915121763588,0.0,0.0,3.5,69.0872308076255
SST-2,设计,SST-2_mid,mid,3.5,1.0,6.0,10.0,10.0,15.0,2.0,40.0,400.0,10.0,3.5,69.0872308076255
SST-2,设计,SST-2_high,high,3.5,1.0,6.0,11.74031740051089,11.046369849586604,22.177433531644766,2.7425473186538514,59.59985782852403,555.6343972507103,9.322747024822398,3.5,69.0872308076255
ARIES-AT,设计,ARIES-AT_low,low,5.2,1.3,8.0,10.05902836640208,8.383346676208756,9.540390914407702,1.6457956700618,27.803064061875332,0.0,0.0,4.0,173.46816695354659
ARIES-AT,设计,ARIES-AT_mid,mid,5.2,1.3,8.0,15.0,15.0,20.0,3.5,60.0,1500.0,20.0,4.0,173.46816695354659
ARIES-AT,设计,ARIES-AT_high,high,5.2,1.3,8.0,17.00847824005828,19.005605681062576,29.616928644964684,5.174441715344963,82.26110106160857,1693.729422196846,20.58967604783633,4.0,173.46816695354659
ARIES-I,设计,ARIES-I_low,low,6.75,1.5,11.0,9.345021680097508,12.564193860375347,9.416369667040707,1.6146637218909894,40.28322300699138,0.0,0.0,4.5,299.7892336830892
ARIES-I,设计,ARIES-I_mid,mid,6.75,1.5,11.0,15.0,18.0,22.0,4.0,70.0,1800.0,22.0,4.5,299.7892336830892
ARIES-I,设计,ARIES-I_high,high,6.75,1.5,11.0,18.72230585326261,23.563885001374445,31.036394954314922,5.375185841951608,90.16542872955436,2417.055023958397,26.806893262917924,4.5,299.7892336830892
PPCS-ModelA,设计,PPCS-ModelA_low,low,8.1,2.7,6.5,12.578430899780885,8.080973564592249,13.983554652271064,1.810208158974844,37.522744420307994,0.0,0.0,2.9999999999999996,1165.580540559851
PPCS-ModelA,设计,PPCS-ModelA_mid,mid,8.1,2.7,6.5,19.0,12.0,24.0,4.5,75.0,2200.0,28.0,2.9999999999999996,1165.580540559851
PPCS-ModelA,设计,PPCS-ModelA_high,high,8.1,2.7,6.5,23.933521680073746,15.539870150799953,33.85416151625546,6.832426804984982,110.02512019089524,2643.0768035220135,24.022485037382694,2.9999999999999996,1165.580540559851
FIRE,设计,FIRE_low,low,2.14,0.6,10.0,3.7382578384319274,7.781945819522607,6.187872338390818,0.24575076380747873,17.259186126927222,0.0,0.0,3.566666666666667,15.207086461198482
FIRE,设计,FIRE_mid,mid,2.14,0.6,10.0,6.5,15.0,12.0,0.8,35.0,150.0,4.0,3.566666666666667,15.207086461198482
FIRE,设计,FIRE_high,high,2.14,0.6,10.0,7.85543802511985,17.78943563457728,16.52699973804844,0.9697600799804958,42.39215598186675,202.01702522968463,4.76543408917672,3.566666666666667,15.207086461198482
BPX,设计,BPX_low,low,2.6,0.8,9.2,4.862324090399147,7.355769435425278,7.062281128153453,0.5447984527436666,19.94238924747159,0.0,0.0,3.25,32.84604344682539
BPX,设计,BPX_mid,mid,2.6,0.8,9.2,8.5,14.0,14.0,1.2,45.0,250.0,5.5,3.25,32.84604344682539
BPX,设计,BPX_high,high,2.6,0.8,9.2,10.4089138088923,15.758459352973826,17.01706322890815,1.6950502231527111,61.29857414173644,322.8072426123655,5.266146025941169,3.25,32.84604344682539
TITAN,设计,TITAN_low,low,3.9,1.0,9.8,7.742619200934388,11.122726654280111,9.058681253884304,1.0208556248470977,30.74704814245574,0.0,0.0,3.9,76.98291432849699
TITAN,设计,TITAN_mid,mid,3.9,1.0,9.8,12.0,16.0,18.0,2.8,55.0,800.0,15.0,3.9,76.98291432849699
TITAN,设计,TITAN_high,high,3.9,1.0,9.8,13.84999740302898,19.707062819387055,22.023664459248234,3.3883928326253123,81.88369884218577,1080.6352289229294,13.197196074466968,3.9,76.98291432849699
CREST,设计,CREST_low,low,5.4,1.4,7.0,8.948727777062354,6.981487066594248,8.693177280283384,1.060119707309495,22.502428981645952,0.0,0.0,3.8571428571428577,208.9197859622595
CREST,设计,CREST_mid,mid,5.4,1.4,7.0,14.0,12.0,20.0,3.2,50.0,1200.0,18.0,3.8571428571428577,208.9197859622595
CREST,设计,CREST_high,high,5.4,1.4,7.0,16.93783466117714,15.772545321720223,27.961184260306386,4.1983153880908075,74.32297920994792,1585.6428900104768,21.334490447851195,3.8571428571428577,208.9197859622595
K-DEMO,设计,K-DEMO_low,low,6.8,2.1,7.0,9.1630621575342,7.468129790962445,10.646240274682276,1.3282755520208795,30.6276448224664,0.0,0.0,3.2380952380952377,591.9393935597353
K-DEMO,设计,K-DEMO_mid,mid,6.8,2.1,7.0,15.0,12.0,22.0,3.8,65.0,1500.0,20.0,3.2380952380952377,591.9393935597353
K-DEMO,设计,K-DEMO_high,high,6.8,2.1,7.0,18.773538331393105,13.251816559067123,27.166079427345643,4.629924015873065,78.79421164521992,2034.9572628049532,25.826227844852163,3.2380952380952377,591.9393935597353
FDF,设计,FDF_low,low,3.2,0.9,8.5,6.407315718760048,8.32768672144451,6.713069314083205,0.8763109850514063,24.734717707805657,0.0,0.0,3.555555555555556,51.16402921524723
FDF,设计,FDF_mid,mid,3.2,0.9,8.5,10.0,14.0,16.0,2.2,50.0,600.0,12.0,3.555555555555556,51.16402921524723
FDF,设计,FDF_high,high,3.2,0.9,8.5,11.34640373982003,17.222176926799488,21.112822725107392,3.181948086285951,69.52640476301465,668.1547217589681,9.610085895228117,3.555555555555556,51.16402921524723
JAERI-DEMO,设计,JAERI-DEMO_low,low,8.2,2.5,5.8,10.348605412655296,6.87689181457132,10.01254503432035,1.9794514665981908,37.221710842665225,0.0,0.0,3.28,1011.634451111659
JAERI-DEMO,设计,JAERI-DEMO_mid,mid,8.2,2.5,5.8,18.0,11.0,20.0,4.2,70.0,1800.0,22.0,3.28,1011.634451111659
JAERI-DEMO,设计,JAERI-DEMO_high,high,8.2,2.5,5.8,20.386563937493147,12.33287686642142,27.854515669237895,5.084539001709925,96.30128720674273,2487.724330369477,25.832721477842238,3.28,1011.634451111659
EU-DEMO,设计,EU-DEMO_low,low,9.1,2.9,5.9,11.686801875928339,6.6427908302750005,11.101810517457885,1.8799227748718559,38.18425183973902,0.0,0.0,3.1379310344827585,1510.6613888395393
EU-DEMO,设计,EU-DEMO_mid,mid,9.1,2.9,5.9,19.0,11.5,21.0,4.8,75.0,2100.0,24.0,3.1379310344827585,1510.6613888395393
EU-DEMO,设计,EU-DEMO_high,high,9.1,2.9,5.9,24.4775662733508,13.98205410041267,31.25550055209066,7.4982732325556425,94.40530053275917,2353.6976195513544,24.931837579761826,3.1379310344827585,1510.6613888395393
ARIES-RS,设计,ARIES-RS_low,low,5.5,1.4,8.0,7.282178403856795,7.0510211118243395,7.958883250872528,1.309804064049814,22.78307513306252,0.0,0.0,3.928571428571429,212.78867088748652
ARIES-RS,设计,ARIES-RS_mid,mid,5.5,1.4,8.0,14.0,14.0,19.0,3.0,55.0,1000.0,16.0,3.928571428571429,212.78867088748652
ARIES-RS,设计,ARIES-RS_high,high,5.5,1.4,8.0,16.293131764822533,18.94847630607171,22.93265003369421,4.577362179106723,70.6506037837611,1135.449448286497,16.071333965690435,3.928571428571429,212.78867088748652
PULSAR,设计,PULSAR_low,low,4.0,1.1,8.5,7.032821763801132,8.135251401627698,9.78340484599198,1.1175355219019427,26.913416931694545,0.0,0.0,3.6363636363636362,95.537770602545
PULSAR,设计,PULSAR_mid,mid,4.0,1.1,8.5,11.0,13.0,17.0,2.5,48.0,700.0,14.0,3.6363636363636362,95.537770602545
PULSAR,设计,PULSAR_high,high,4.0,1.1,8.5,12.720476059656876,14.99201422074092,24.228135233368377,3.806834739267264,71.8632740448097,856.6497121513996,11.920549453636685,3.6363636363636362,95.537770602545
TFTR,退役,TFTR_low,low,2.4,0.8,5.2,1.4360090428963914,5.242260737187195,4.681607080506035,0.1701530127922495,22.867302014744094,0.0,0.0,2.9999999999999996,30.319424720146515
TFTR,退役,TFTR_mid,mid,2.4,0.8,5.2,2.5,8.0,10.0,0.35,40.0,10.7,0.28,2.9999999999999996,30.319424720146515
TFTR,退役,TFTR_high,high,2.4,0.8,5.2,2.9644970136875095,10.602090562699594,14.263628622254048,0.4344373416370305,58.830634880154804,13.39186011555762,0.22763412536408073,2.9999999999999996,30.319424720146515
Alcator_CMod,退役,Alcator_CMod_low,low,0.68,0.22,8.0,1.3305829864430967,11.280198404122448,2.8955232284962005,0.018892016787341634,2.413005181776358,0.0,0.0,3.0909090909090913,0.6496568400973058
Alcator_CMod,退役,Alcator_CMod_mid,mid,0.68,0.22,8.0,2.0,20.0,5.0,0.05,6.0,0.0,0.0,3.0909090909090913,0.6496568400973058
Alcator_CMod,退役,Alcator_CMod_high,high,0.68,0.22,8.0,2.5621527905677057,22.547720060716806,6.478970456385622,0.0790012393410161,8.911092864487602,0.0,0.0,3.0909090909090913,0.6496568400973058
FTU,退役,FTU_low,low,0.93,0.3,8.0,0.9835001241994515,6.263674424339598,1.4690673131869918,0.017932107716980644,1.8629316362959327,0.0,0.0,3.1,1.6521717767423585
FTU,退役,FTU_mid,mid,0.93,0.3,8.0,1.6,10.0,3.0,0.05,4.0,0.0,0.0,3.1,1.6521717767423585
FTU,退役,FTU_high,high,0.93,0.3,8.0,1.9752059059446525,13.25712358831304,4.312421139353264,0.07579236285589108,4.909447323658428,0.0,0.0,3.1,1.6521717767423585
TEXTOR,退役,TEXTOR_low,low,1.75,0.46,2.8,0.47910724875241306,2.0460470080133155,1.0198115529294942,0.038830610027467544,2.8877041827582994,0.0,0.0,3.8043478260869565,7.309429019446778
TEXTOR,退役,TEXTOR_mid,mid,1.75,0.46,2.8,0.8,4.0,2.0,0.1,5.0,0.0,0.0,3.8043478260869565,7.309429019446778
TEXTOR,退役,TEXTOR_high,high,1.75,0.46,2.8,0.9361464020083328,4.540480419713127,2.4857950092317016,0.1504604252686989,6.927327094974391,0.0,0.0,3.8043478260869565,7.309429019446778
Tore_Supra,退役,Tore_Supra_low,low,2.37,0.7,4.5,1.040449070449116,2.584106806114997,1.620581478875472,0.0943657803818516,6.7724641422968554,0.0,0.0,3.385714285714286,22.92314318197014
Tore_Supra,退役,Tore_Supra_mid,mid,2.37,0.7,4.5,2.0,5.0,3.0,0.3,12.0,0.0,0.0,3.385714285714286,22.92314318197014
Tore_Supra,退役,Tore_Supra_high,high,2.37,0.7,4.5,2.4824968908625986,5.62202317096285,3.676353942676673,0.47839674942014104,15.747374864722033,0.0,0.0,3.385714285714286,22.92314318197014
JFT-2M,退役,JFT-2M_low,low,1.31,0.35,1.3,0.22965137176535128,1.9876797403545012,0.5894497154767717,0.024860010638228708,1.1013512741035767,0.0,0.0,3.7428571428571433,3.167649532529629
JFT-2M,退役,JFT-2M_mid,mid,1.31,0.35,1.3,0.4,3.0,1.0,0.05,2.0,0.0,0.0,3.7428571428571433,3.167649532529629
JFT-2M,退役,JFT-2M_high,high,1.31,0.35,1.3,0.4701007668424733,3.375150645028802,1.4331440747782311,0.0711680849947161,2.654533205548186,0.0,0.0,3.7428571428571433,3.167649532529629
PBX-M,退役,PBX-M_low,low,1.0,0.4,1.7,0.40876252621136827,2.088957985844921,0.7477875312872577,0.01511353644767419,1.4811963851964758,0.0,0.0,2.5,3.1582734083485953
PBX-M,退役,PBX-M_mid,mid,1.0,0.4,1.7,0.6,4.0,1.5,0.05,3.0,0.0,0.0,2.5,3.1582734083485953
PBX-M,退役,PBX-M_high,high,1.0,0.4,1.7,0.6667563930818204,4.542581499521686,1.8528868110496972,0.07298420604232128,4.2714403913388805,0.0,0.0,2.5,3.1582734083485953
DIII-D_1980s,退役,DIII-D_1980s_low,low,1.67,0.67,2.2,1.233347506038864,3.462172548474541,1.4249223477142223,0.053571362588455816,8.60579738456838,0.0,0.0,2.4925373134328357,14.797754488267705
DIII-D_1980s,退役,DIII-D_1980s_mid,mid,1.67,0.67,2.2,2.0,5.0,3.0,0.15,15.0,0.0,0.0,2.4925373134328357,14.797754488267705
DIII-D_1980s,退役,DIII-D_1980s_high,high,1.67,0.67,2.2,2.289438335407781,6.944833809160916,3.6109390272208346,0.23819272960245833,18.19421960377759,0.0,0.0,2.4925373134328357,14.797754488267705
ASDEX,退役,ASDEX_low,low,1.65,0.4,2.8,0.3391143113698071,2.42216088726904,0.8978894388357901,0.02518074503576638,2.0430834275210565,0.0,0.0,4.124999999999999,5.211151123775182
ASDEX,退役,ASDEX_mid,mid,1.65,0.4,2.8,0.5,4.0,1.5,0.08,4.0,0.0,0.0,4.124999999999999,5.211151123775182
ASDEX,退役,ASDEX_high,high,1.65,0.4,2.8,0.6469302535619099,5.027717413004178,2.083229387160868,0.11826395804750775,5.345449277721328,0.0,0.0,4.124999999999999,5.211151123775182
PDX,退役,PDX_low,low,1.43,0.44,1.7,0.3127558080084063,2.4674514495384803,0.6962779225178374,0.018545356564097493,1.596674232714561,0.0,0.0,3.25,5.464760478465573
PDX,退役,PDX_mid,mid,1.43,0.44,1.7,0.5,4.0,1.2,0.06,3.5,0.0,0.0,3.25,5.464760478465573
PDX,退役,PDX_high,high,1.43,0.44,1.7,0.6450411484076559,5.4683165406690994,1.6040364310028565,0.08688318234723688,4.491250242130189,0.0,0.0,3.25,5.464760478465573
PLT,退役,PLT_low,low,1.32,0.4,3.5,0.32257453916685136,2.9636984049399824,0.9413408912104211,0.03333849778961395,2.0777346369649847,0.0,0.0,3.3,4.168920899020146
PLT,退役,PLT_mid,mid,1.32,0.4,3.5,0.6,5.0,2.0,0.08,5.0,0.0,0.0,3.3,4.168920899020146
PLT,退役,PLT_high,high,1.32,0.4,3.5,0.77692737691994,6.979316116719404,2.818897028411847,0.11315508372301185,6.464291424429492,0.0,0.0,3.3,4.168920899020146
 Alcator_A,退役, Alcator_A_low,low,0.54,0.17,7.0,0.1988277011824169,9.554193517661638,1.2975701636069348,0.00964370873797537,1.1290148971692675,0.0,0.0,3.176470588235294,0.30805009256680116
 Alcator_A,退役, Alcator_A_mid,mid,0.54,0.17,7.0,0.3,15.0,3.0,0.02,2.0,0.0,0.0,3.176470588235294,0.30805009256680116
 Alcator_A,退役, Alcator_A_high,high,0.54,0.17,7.0,0.3869879947975155,19.76573778774762,4.15207367634221,0.027345944290324952,2.959637090012408,0.0,0.0,3.176470588235294,0.30805009256680116
TFR,退役,TFR_low,low,0.98,0.2,4.5,0.2692851111600327,4.072349872169903,0.6079100923491756,0.011258780201268297,1.6863319984690999,0.0,0.0,4.8999999999999995,0.7737769850454057
TFR,退役,TFR_mid,mid,0.98,0.2,4.5,0.4,8.0,1.5,0.03,3.0,0.0,0.0,4.8999999999999995,0.7737769850454057
TFR,退役,TFR_high,high,0.98,0.2,4.5,0.5189820903451956,9.161000538648468,2.067358821908461,0.040570690279572254,4.472922958033143,0.0,0.0,4.8999999999999995,0.7737769850454057
Doublet_III,退役,Doublet_III_low,low,1.44,0.44,2.6,0.6684237846271417,3.3383287047111376,0.9874772639179881,0.03829639004675331,3.63745131508913,0.0,0.0,3.2727272727272725,5.502975586706591
Doublet_III,退役,Doublet_III_mid,mid,1.44,0.44,2.6,1.0,5.0,2.0,0.1,8.0,0.0,0.0,3.2727272727272725,5.502975586706591
Doublet_III,退役,Doublet_III_high,high,1.44,0.44,2.6,1.1112750993301854,6.79708356438258,2.8877406054780463,0.15998870693144523,11.991928408977373,0.0,0.0,3.2727272727272725,5.502975586706591
